Email Address,Campaign Name,Send Date,Send,Delivered,Open,Click,Subject Line,URL Clicked
coreyharrell@norris-brown.com,Market Insights: Navigating Volatility,2024-09-02,3,3,3,3,Navigating Market Volatility: Strategies for Success,https://brown.info/
coreyharrell@norris-brown.com,Portfolio Optimization Strategies,2024-09-28,3,3,3,2,Optimize Your Portfolio for Long-Term Growth,http://mcdonald.com/
coreyharrell@norris-brown.com,Global Investment Opportunities,2024-07-20,6,6,4,3,Uncover Global Investment Opportunities,http://www.curry.com/
coreyharrell@norris-brown.com,Tech Sector Investment Outlook,2024-06-20,3,2,2,2,Tech Sector Outlook: Where to Invest Now,http://johnson.biz/
coreyharrell@norris-brown.com,Alternative Investment Strategies,2024-08-03,5,5,1,1,Explore Alternative Investment Strategies,https://vargas-harper.info/
coreyharrell@norris-brown.com,Fixed Income Market Update,2024-09-02,10,1,1,0,Fixed Income Market Update: What You Need to Know,
coreyharrell@norris-brown.com,Retirement Planning Essentials,2024-06-01,3,3,3,2,Retirement Planning: Secure Your Future,https://www.ruiz.com/
coreyharrell@norris-brown.com,Understanding Risk Management,2024-07-08,7,3,3,0,Risk Management: Protecting Your Investments,https://www.hayes.info/
coreyharrell@norris-brown.com,Emerging Markets Investment Guide,2024-09-05,2,2,2,2,Emerging Markets: A Guide for Investors,https://rodriguez-webb.biz/
coreyharrell@norris-brown.com,Tax-Efficient Investing Strategies,2024-06-06,5,5,5,2,Tax-Efficient Investing: Maximize Your Returns,http://www.drake-miller.info/
coreyharrell@norris-brown.com,Year-End Portfolio Review,2025-01-01,6,1,0,0,Year-End Portfolio Review: Plan for the New Year,
coreyharrell@norris-brown.com,Investment Planning for 2025,2024-11-04,1,1,1,0,Investment Planning: Strategies for 2025,
coreyharrell@norris-brown.com,Understanding Market Cycles,2024-10-24,2,2,2,2,Market Cycles: Understanding the Trends,http://www.ortiz.com/
claudia.george@montgomery-zimmerman.com,Tax Saving,2024-06-01,1,1,1,0,Maximize Your Tax Benefits with Smart Investments,https://assetmanagement.com/tax-saving-opportunities
claudia.george@montgomery-zimmerman.com,Market Commentary,2024-06-03,1,1,1,0,Latest Market Update: What You Need to Know,https://assetmanagement.com/insights/market-commentary
claudia.george@montgomery-zimmerman.com,Secular Outlook,2024-06-07,1,1,1,0,Navigating Long-Term Market Dynamics,https://assetmanagement.com/insights/secular-outlook
claudia.george@montgomery-zimmerman.com,Thought Leadership,2024-06-10,1,1,1,1,Insights on Future Investment Trends,https://assetmanagement.com/insights/thought-leadership
claudia.george@montgomery-zimmerman.com,Event Mail,2024-06-19,1,1,0,0,Join Our Exclusive Investment Webinar,https://assetmanagement.com/events/investment-webinar
claudia.george@montgomery-zimmerman.com,Market Commentary,2024-06-22,1,1,1,0,Latest Market Update: What You Need to Know,https://assetmanagement.com/insights/market-commentary
claudia.george@montgomery-zimmerman.com,Understanding Investment Fees,2024-06-25,2,2,0,1,Investment Fees: What You Need to Know,https://martin-weaver.com/
claudia.george@montgomery-zimmerman.com,Tax Saving,2024-07-04,1,1,1,1,Maximize Your Tax Benefits with Smart Investments,https://assetmanagement.com/tax-saving-opportunities
cheryl98@davisinc.com,Long-Term Investing for Wealth,2024-10-30,1,1,1,0,Long-Term Investing: Building Wealth Over Time,
cheryl98@davisinc.com,Private Equity Investment Insights,2024-07-06,5,5,5,0,Private Equity: Insights for Sophisticated Investors,https://reed.biz/
cheryl98@davisinc.com,Understanding Inflation's Impact,2024-11-25,3,2,2,2,Inflation's Impact: How to Protect Your Portfolio,https://www.moss.org/
cheryl98@davisinc.com,Asset Allocation Strategies,2024-09-18,10,10,8,3,Asset Allocation: Balancing Risk and Return,https://morrison-stuart.net/
cheryl98@davisinc.com,Growth Investing Strategies,2024-09-28,5,5,1,1,Growth Investing: Strategies for High Returns,https://www.holmes-reyes.com/
cheryl98@davisinc.com,Value Investing Principles,2024-07-17,4,2,2,1,Value Investing: Finding Undervalued Opportunities,https://reed.com/
